dist,n,type,month,fish
52123.82405617073,1309,New,1,Mackerel
46589.861636243666,572,New,2,Mackerel
64444.864406632885,829,New,3,Mackerel
57078.882899300304,270,New,4,Mackerel
57903.731111385314,856,New,5,Mackerel
50797.36025739146,296,New,6,Mackerel
53742.85607367045,980,New,7,Mackerel
61700.39057939063,111,New,8,Mackerel
43111.342510446586,22,New,9,Mackerel
NaN,0,New,10,Mackerel
NaN,0,New,11,Mackerel
NaN,0,New,12,Mackerel
NaN,0,Original,1,Mackerel
64823.532073639864,45,Original,2,Mackerel
48348.008953809745,571,Original,3,Mackerel
62847.8448515505,90,Original,4,Mackerel
49586.82194559501,649,Original,5,Mackerel
NaN,0,Original,6,Mackerel
NaN,0,Original,7,Mackerel
NaN,0,Original,8,Mackerel
NaN,0,Original,9,Mackerel
NaN,0,Original,10,Mackerel
NaN,0,Original,11,Mackerel
NaN,0,Original,12,Mackerel
44033.98881509272,37,Original,1,Herring
NaN,0,Original,2,Herring
NaN,0,Original,3,Herring
NaN,0,Original,4,Herring
NaN,0,Original,5,Herring
64864.08874456677,1,Original,6,Herring
53551.16131137048,428,Original,7,Herring
45717.76812994685,593,Original,8,Herring
58885.9939849215,31,Original,9,Herring
51602.47472348734,160,Original,10,Herring
56037.50598680799,473,Original,11,Herring
58490.523882978494,395,Original,12,Herring
NaN,0,New,1,Herring
NaN,0,New,2,Herring
NaN,0,New,3,Herring
NaN,0,New,4,Herring
NaN,0,New,5,Herring
NaN,0,New,6,Herring
NaN,0,New,7,Herring
NaN,0,New,8,Herring
64570.24984974246,99,New,9,Herring
70497.45611900612,103,New,10,Herring
73170.70527713264,14,New,11,Herring
NaN,0,New,12,Herring